0    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable with 3 columns created
3    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable with 3 columns created
3    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable inserted row (1A, 1B, 1C)
3    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable inserted row (2A, 2B, 2C)
3    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable with 3 columns created
3    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable inserted row (1A, 1B, 1C)
3    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable inserted row (2A, 2B, 2C)
3    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable inserted row (3A, 2B, 3C)
3    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Selected table MyTable with column 1 by selector 2B
4    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable1 with 3 columns created
4    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable2 with 2 columns created
4    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable1 inserted row (1A, 1B, 1C)
4    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable1 inserted row (2A, 2B, 2C)
4    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable1 inserted row (3A, 2B, 3C)
4    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Table MyTable2 inserted row (2B, 1B')
4    [main] DEBUG dpsa.lab.dbforlogging.FileLoggingDBDecorator  - Joined table MyTable1 and MyTable2 with column 1 in table 1 and column 0 in table 2
0    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable with 3 columns created
3    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable with 3 columns created
3    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable inserted row (1A, 1B, 1C)
3    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable inserted row (2A, 2B, 2C)
3    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable with 3 columns created
4    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable inserted row (1A, 1B, 1C)
4    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable inserted row (2A, 2B, 2C)
4    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable inserted row (3A, 2B, 3C)
4    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Selected table MyTable with column 1 by selector 2B
4    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable1 with 3 columns created
4    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable2 with 2 columns created
4    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable1 inserted row (1A, 1B, 1C)
4    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable1 inserted row (2A, 2B, 2C)
4    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable1 inserted row (3A, 2B, 3C)
7    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Table MyTable2 inserted row (2B, 1B')
8    [main] INFO  dpsa.lab.dbforlogging.ConsoleLoggingDBDecorator  - Joined table MyTable1 and MyTable2 with column 1 in table 1 and column 0 in table 2
